,,,,VAR ETAT SYSTEME,,,VAR STATS,
HS,TYPE EVT TRAITE, ECHEANCIER, ETAT GUICHET(0=LIBRE/1=OCCUPE),NB CLIENT DANS LA QUEUE,QUEUE,NB CLIENTS RECUS, ATTENTE GLOBALE AVANT SERVICE
1960.7958,AccFA,,1,3,,326,3994.1313,
1961.0543,ArrCl,AccFA 1961.0543  |   ArrCl 1968.7809,1,3,,327,3994.1313,
1961.0543,AccFA,,1,4,,327,3994.1313,
1961.5596,DepCl,AccSrv 1961.5596,0,0,,327,3994.1313,
1961.5596,AccSrv,DepCl 1966.7196,0,5,,327,3996.9927,
1966.7196,DepCl,AccSrv 1966.7196,0,4,,327,3996.9927,
1966.7196,AccSrv,DepCl 1971.8796,0,4,,327,4003.9937,
1968.7809,ArrCl,AccFA 1968.7809  |   ArrCl 1969.5759,1,4,,328,4003.9937,
1968.7809,AccFA,,1,3,,328,4003.9937,
1969.5759,ArrCl,AccFA 1969.5759  |   ArrCl 1974.2935,1,3,,329,4003.9937,
1969.5759,AccFA,,1,4,,329,4003.9937,
1971.8796,DepCl,AccSrv 1971.8796,0,3,,329,4003.9937,
1971.8796,AccSrv,DepCl 1977.0397,0,5,,329,4015.486,
1974.2935,ArrCl,AccFA 1974.2935  |   ArrCl 1984.1187,1,4,,330,4015.486,
1974.2935,AccFA,,1,4,,330,4015.486,
1977.0397,DepCl,AccSrv 1977.0397,0,4,,330,4015.486,
1977.0397,AccSrv,DepCl 1982.1997,0,5,,330,4031.73,
1982.1997,DepCl,AccSrv 1982.1997,0,4,,330,4031.73,
1982.1997,AccSrv,DepCl 1987.3597,0,4,,330,4052.8755,
1984.1187,ArrCl,AccFA 1984.1187  |   ArrCl 1985.1051,1,4,,331,4052.8755,
1984.1187,AccFA,,1,3,,331,4052.8755,
1985.1051,ArrCl,AccFA 1985.1051  |   ArrCl 1988.3269,1,3,,332,4052.8755,
1985.1051,AccFA,,1,4,,332,4052.8755,
1987.3597,DepCl,AccSrv 1987.3597,0,3,,332,4052.8755,
1987.3597,AccSrv,DepCl 1992.5198,0,5,,332,4071.4543,
1988.3269,ArrCl,AccFA 1988.3269  |   ArrCl 1993.6636,1,4,,333,4071.4543,
1988.3269,AccFA,,1,4,,333,4071.4543,
1992.5198,DepCl,AccSrv 1992.5198,0,4,,333,4071.4543,
1992.5198,AccSrv,DepCl 1997.6798,0,5,,333,4094.3982,
1993.6636,ArrCl,AccFA 1993.6636  |   ArrCl 1994.1509,1,4,,334,4094.3982,
1993.6636,AccFA,,1,4,,334,4094.3982,
1994.1509,ArrCl,AccFA 1994.1509  |   ArrCl 1995.9381,1,4,,335,4094.3982,
1994.1509,AccFA,,1,5,,335,4094.3982,
1995.9381,ArrCl,AccFA 1995.9381  |   ArrCl 1998.1945,1,5,,336,4094.3982,
1995.9381,AccFA,,1,6,,336,4094.3982,
1997.6798,DepCl,AccSrv 1997.6798,0,4,,336,4094.3982,
1997.6798,AccSrv,DepCl 2002.8398,0,7,,336,4117.7847,
1998.1945,ArrCl,AccFA 1998.1945  |   ArrCl 1998.2072,1,6,,337,4117.7847,
1998.1945,AccFA,,1,6,,337,4117.7847,
1998.2072,ArrCl,AccFA 1998.2072  |   ArrCl 2000.9163,1,6,,338,4117.7847,
1998.2072,AccFA,,1,7,,338,4117.7847,
2000.9163,ArrCl,AccFA 2000.9163  |   ArrCl 2020.7786,1,7,,339,4117.7847,
2000.9163,AccFA,,1,8,,339,4117.7847,
2002.8398,DepCl,AccSrv 2002.8398,0,6,,339,4117.7847,
2002.8398,AccSrv,DepCl 2007.9999,0,9,,339,4136.506,
2007.9999,DepCl,AccSrv 2007.9999,0,8,,339,4136.506,
2007.9999,AccSrv,DepCl 2013.1599,0,8,,339,4159.4004,
2013.1599,DepCl,AccSrv 2013.1599,0,7,,339,4159.4004,
2013.1599,AccSrv,DepCl 2018.32,0,7,,339,4184.2334,
2018.32,DepCl,AccSrv 2018.32,0,6,,339,4184.2334,
2018.32,AccSrv,DepCl 2023.48,0,6,,339,4208.8896,
2020.7786,ArrCl,AccFA 2020.7786  |   ArrCl 2039.324,1,8,,340,4208.8896,
2020.7786,AccFA,,1,5,,340,4208.8896,
2023.48,DepCl,AccSrv 2023.48,0,5,,340,4208.8896,
2023.48,AccSrv,DepCl 2028.64,0,6,,340,4238.2188,
2028.64,DepCl,AccSrv 2028.64,0,5,,340,4238.2188,
2028.64,AccSrv,DepCl 2033.8,0,5,,340,4270.921,
2033.8,DepCl,AccSrv 2033.8,0,4,,340,4270.921,
2033.8,AccSrv,DepCl 2038.9601,0,4,,340,4306.5264,
2038.9601,DepCl,AccSrv 2038.9601,0,3,,340,4306.5264,
2038.9601,AccSrv,DepCl 2044.1201,0,3,,340,4347.2793,
2039.324,ArrCl,AccFA 2039.324  |   ArrCl 2043.1208,1,5,,341,4347.2793,
2039.324,AccFA,,1,2,,341,4347.2793,
2043.1208,ArrCl,AccFA 2043.1208  |   ArrCl 2043.9446,1,2,,342,4347.2793,
2043.1208,AccFA,,1,3,,342,4347.2793,
2043.9446,ArrCl,AccFA 2043.9446  |   ArrCl 2052.8557,1,3,,343,4347.2793,
2043.9446,AccFA,,1,4,,343,4347.2793,
2044.1201,DepCl,AccSrv 2044.1201,0,2,,343,4347.2793,
2044.1201,AccSrv,DepCl 2049.28,0,5,,343,4390.4834,
2049.28,DepCl,AccSrv 2049.28,0,4,,343,4390.4834,
2049.28,AccSrv,DepCl 2054.44,0,4,,343,4418.985,
2052.8557,ArrCl,AccFA 2052.8557  |   ArrCl 2053.5781,1,4,,344,4418.985,
2052.8557,AccFA,,1,3,,344,4418.985,
2053.5781,ArrCl,AccFA 2053.5781  |   ArrCl 2063.028,1,3,,345,4418.985,
2053.5781,AccFA,,1,4,,345,4418.985,
2054.44,DepCl,AccSrv 2054.44,0,3,,345,4418.985,
2054.44,AccSrv,DepCl 2059.5999,0,5,,345,4434.1006,
2059.5999,DepCl,AccSrv 2059.5999,0,4,,345,4434.1006,
2059.5999,AccSrv,DepCl 2064.7598,0,4,,345,4450.5796,
2063.028,ArrCl,AccFA 2063.028  |   ArrCl 2063.9116,1,4,,346,4450.5796,
2063.028,AccFA,,1,3,,346,4450.5796,
2063.9116,ArrCl,AccFA 2063.9116  |   ArrCl 2065.1191,1,3,,347,4450.5796,
2063.9116,AccFA,,1,4,,347,4450.5796,
2064.7598,DepCl,AccSrv 2064.7598,0,3,,347,4450.5796,
2064.7598,AccSrv,DepCl 2069.9197,0,5,,347,4471.3945,
2065.1191,ArrCl,AccFA 2065.1191  |   ArrCl 2066.3914,1,4,,348,4471.3945,
2065.1191,AccFA,,1,4,,348,4471.3945,
2066.3914,ArrCl,AccFA 2066.3914  |   ArrCl 2069.071,1,4,,349,4471.3945,
2066.3914,AccFA,,1,5,,349,4471.3945,
2069.071,ArrCl,AccFA 2069.071  |   ArrCl 2078.9893,1,5,,350,4471.3945,
2069.071,AccFA,,1,6,,350,4471.3945,
2069.9197,DepCl,AccSrv 2069.9197,0,4,,350,4471.3945,
2069.9197,AccSrv,DepCl 2075.0796,0,7,,350,4488.4585,
2075.0796,DepCl,AccSrv 2075.0796,0,6,,350,4488.4585,
2075.0796,AccSrv,DepCl 2080.2395,0,6,,350,4509.96,
2078.9893,ArrCl,AccFA 2078.9893  |   ArrCl 2081.6187,1,6,,351,4509.96,
2078.9893,AccFA,,1,5,,351,4509.96,
2080.2395,DepCl,AccSrv 2080.2395,0,5,,351,4509.96,
2080.2395,AccSrv,DepCl 2085.3994,0,6,,351,4527.1714,
2081.6187,ArrCl,AccFA 2081.6187  |   ArrCl 2099.7344,1,5,,352,4527.1714,
2081.6187,AccFA,,1,5,,352,4527.1714,
2085.3994,DepCl,AccSrv 2085.3994,0,5,,352,4527.1714,
2085.3994,AccSrv,DepCl 2090.5593,0,6,,352,4548.659,
2090.5593,DepCl,AccSrv 2090.5593,0,5,,352,4548.659,
2090.5593,AccSrv,DepCl 2095.7192,0,5,,352,4574.0996,
2095.7192,DepCl,AccSrv 2095.7192,0,4,,352,4574.0996,
2095.7192,AccSrv,DepCl 2100.8792,0,4,,352,4603.4277,
2099.7344,ArrCl,AccFA 2099.7344  |   ArrCl 2103.977,1,5,,353,4603.4277,
2099.7344,AccFA,,1,3,,353,4603.4277,
2100.8792,DepCl,AccSrv 2100.8792,0,3,,353,4603.4277,
2100.8792,AccSrv,DepCl 2106.039,0,4,,353,4635.236,
2103.977,ArrCl,AccFA 2103.977  |   ArrCl 2104.342,1,3,,354,4635.236,
2103.977,AccFA,,1,3,,354,4635.236,
2104.342,ArrCl,AccFA 2104.342  |   ArrCl 2105.7673,1,3,,355,4635.236,
2104.342,AccFA,,1,4,,355,4635.236,
2105.7673,ArrCl,AccFA 2105.7673  |   ArrCl 2112.2546,1,4,,356,4635.236,
2105.7673,AccFA,,1,5,,356,4635.236,
2106.039,DepCl,AccSrv 2106.039,0,3,,356,4635.236,
2106.039,AccSrv,DepCl 2111.199,0,6,,356,4662.2856,
2111.199,DepCl,AccSrv 2111.199,0,5,,356,4662.2856,
2111.199,AccSrv,DepCl 2116.359,0,5,,356,4691.866,
2112.2546,ArrCl,AccFA 2112.2546  |   ArrCl 2117.8813,1,5,,357,4691.866,
2112.2546,AccFA,,1,4,,357,4691.866,
2116.359,DepCl,AccSrv 2116.359,0,4,,357,4691.866,
2116.359,AccSrv,DepCl 2121.5188,0,5,,357,4708.4907,
2117.8813,ArrCl,AccFA 2117.8813  |   ArrCl 2122.3225,1,4,,358,4708.4907,
2117.8813,AccFA,,1,4,,358,4708.4907,
2121.5188,DepCl,AccSrv 2121.5188,0,4,,358,4708.4907,
2121.5188,AccSrv,DepCl 2126.6787,0,5,,358,4726.032,
2122.3225,ArrCl,AccFA 2122.3225  |   ArrCl 2126.9485,1,4,,359,4726.032,
2122.3225,AccFA,,1,4,,359,4726.032,
2126.6787,DepCl,AccSrv 2126.6787,0,4,,359,4726.032,
2126.6787,AccSrv,DepCl 2131.8386,0,5,,359,4748.369,
2126.9485,ArrCl,AccFA 2126.9485  |   ArrCl 2127.9824,1,4,,360,4748.369,
2126.9485,AccFA,,1,4,,360,4748.369,
2127.9824,ArrCl,AccFA 2127.9824  |   ArrCl 2133.2559,1,4,,361,4748.369,
2127.9824,AccFA,,1,5,,361,4748.369,
2131.8386,DepCl,AccSrv 2131.8386,0,4,,361,4748.369,
2131.8386,AccSrv,DepCl 2136.9985,0,6,,361,4774.4404,
2133.2559,ArrCl,AccFA 2133.2559  |   ArrCl 2133.4036,1,5,,362,4774.4404,
2133.2559,AccFA,,1,5,,362,4774.4404,
2133.4036,ArrCl,AccFA 2133.4036  |   ArrCl 2141.9128,1,5,,363,4774.4404,
2133.4036,AccFA,,1,6,,363,4774.4404,
2136.9985,DepCl,AccSrv 2136.9985,0,5,,363,4774.4404,
2136.9985,AccSrv,DepCl 2142.1584,0,7,,363,4799.1846,
2141.9128,ArrCl,AccFA 2141.9128  |   ArrCl 2157.9487,1,6,,364,4799.1846,
2141.9128,AccFA,,1,6,,364,4799.1846,
2142.1584,DepCl,AccSrv 2142.1584,0,6,,364,4799.1846,
2142.1584,AccSrv,DepCl 2147.3184,0,7,,364,4823.462,
2147.3184,DepCl,AccSrv 2147.3184,0,6,,364,4823.462,
2147.3184,AccSrv,DepCl 2152.4783,0,6,,364,4848.458,
2152.4783,DepCl,AccSrv 2152.4783,0,5,,364,4848.458,
2152.4783,AccSrv,DepCl 2157.6382,0,5,,364,4873.988,
2157.6382,DepCl,AccSrv 2157.6382,0,4,,364,4873.988,
2157.6382,AccSrv,DepCl 2162.798,0,4,,364,4903.6436,
2157.9487,ArrCl,AccFA 2157.9487  |   ArrCl 2159.6758,1,6,,365,4903.6436,
2157.9487,AccFA,,1,3,,365,4903.6436,
2159.6758,ArrCl,AccFA 2159.6758  |   ArrCl 2160.8943,1,3,,366,4903.6436,
2159.6758,AccFA,,1,4,,366,4903.6436,
2160.8943,ArrCl,AccFA 2160.8943  |   ArrCl 2173.9492,1,4,,367,4903.6436,
2160.8943,AccFA,,1,5,,367,4903.6436,
2162.798,DepCl,AccSrv 2162.798,0,3,,367,4903.6436,
2162.798,AccSrv,DepCl 2167.958,0,6,,367,4933.1855,
2167.958,DepCl,AccSrv 2167.958,0,5,,367,4933.1855,
2167.958,AccSrv,DepCl 2173.118,0,5,,367,4967.74,
2173.118,DepCl,AccSrv 2173.118,0,4,,367,4967.74,
2173.118,AccSrv,DepCl 2178.2778,0,4,,367,4998.9453,
2173.9492,ArrCl,AccFA 2173.9492  |   ArrCl 2177.3665,1,5,,368,4998.9453,
2173.9492,AccFA,,1,3,,368,4998.9453,
2177.3665,ArrCl,AccFA 2177.3665  |   ArrCl 2180.5996,1,3,,369,4998.9453,
2177.3665,AccFA,,1,4,,369,4998.9453,
2178.2778,DepCl,AccSrv 2178.2778,0,3,,369,4998.9453,
2178.2778,AccSrv,DepCl 2183.4377,0,5,,369,5019.2744,
2180.5996,ArrCl,AccFA 2180.5996  |   ArrCl 2195.845,1,4,,370,5019.2744,
2180.5996,AccFA,,1,4,,370,5019.2744,
2183.4377,DepCl,AccSrv 2183.4377,0,4,,370,5019.2744,
2183.4377,AccSrv,DepCl 2188.5977,0,5,,370,5043.036,
2188.5977,DepCl,AccSrv 2188.5977,0,4,,370,5043.036,
2188.5977,AccSrv,DepCl 2193.7576,0,4,,370,5070.7393,
2193.7576,DepCl,AccSrv 2193.7576,0,3,,370,5070.7393,
2193.7576,AccSrv,DepCl 2198.9175,0,3,,370,5090.548,
2195.845,ArrCl,AccFA 2195.845  |   ArrCl 2200.4614,1,4,,371,5090.548,
2195.845,AccFA,,1,2,,371,5090.548,
2198.9175,DepCl,AccSrv 2198.9175,0,2,,371,5090.548,
2198.9175,AccSrv,DepCl 2204.0774,0,3,,371,5112.0986,
2200.4614,ArrCl,AccFA 2200.4614  |   ArrCl 2202.1106,1,2,,372,5112.0986,
2200.4614,AccFA,,1,2,,372,5112.0986,
2202.1106,ArrCl,AccFA 2202.1106  |   ArrCl 2203.3623,1,2,,373,5112.0986,
2202.1106,AccFA,,1,3,,373,5112.0986,
2203.3623,ArrCl,AccFA 2203.3623  |   ArrCl 2211.3835,1,3,,374,5112.0986,
2203.3623,AccFA,,1,4,,374,5112.0986,
2204.0774,DepCl,AccSrv 2204.0774,0,2,,374,5112.0986,
2204.0774,AccSrv,DepCl 2209.2373,0,5,,374,5135.576,
2209.2373,DepCl,AccSrv 2209.2373,0,4,,374,5135.576,
2209.2373,AccSrv,DepCl 2214.3972,0,4,,374,5148.9688,
2211.3835,ArrCl,AccFA 2211.3835  |   ArrCl 2226.0464,1,4,,375,5148.9688,
2211.3835,AccFA,,1,3,,375,5148.9688,
2214.3972,DepCl,AccSrv 2214.3972,0,3,,375,5148.9688,
2214.3972,AccSrv,DepCl 2219.5571,0,4,,375,5162.9043,
2219.5571,DepCl,AccSrv 2219.5571,0,3,,375,5162.9043,
2219.5571,AccSrv,DepCl 2224.717,0,3,,375,5180.3506,
2224.717,DepCl,AccSrv 2224.717,0,2,,375,5180.3506,
2224.717,AccSrv,DepCl 2229.877,0,2,,375,5201.705,
2226.0464,ArrCl,AccFA 2226.0464  |   ArrCl 2229.6423,1,3,,376,5201.705,
2226.0464,AccFA,,1,1,,376,5201.705,
2229.6423,ArrCl,AccFA 2229.6423  |   ArrCl 2231.6926,1,1,,377,5201.705,
2229.6423,AccFA,,1,2,,377,5201.705,
2229.877,DepCl,AccSrv 2229.877,0,1,,377,5201.705,
2229.877,AccSrv,DepCl 2235.0369,0,3,,377,5220.198,
2231.6926,ArrCl,AccFA 2231.6926  |   ArrCl 2249.7192,1,2,,378,5220.198,
2231.6926,AccFA,,1,2,,378,5220.198,
2235.0369,DepCl,AccSrv 2235.0369,0,2,,378,5220.198,
2235.0369,AccSrv,DepCl 2240.1968,0,3,,378,5229.1885,
2240.1968,DepCl,AccSrv 2240.1968,0,2,,378,5229.1885,
2240.1968,AccSrv,DepCl 2245.3567,0,2,,378,5239.743,
2245.3567,DepCl,AccSrv 2245.3567,0,1,,378,5239.743,
2245.3567,AccSrv,DepCl 2250.5166,0,1,,378,5253.407,
2249.7192,ArrCl,AccFA 2249.7192  |   ArrCl 2251.6013,1,2,,379,5253.407,
2249.7192,AccFA,,1,0,,379,5253.407,
2250.5166,DepCl,AccSrv 2250.5166,0,0,,379,5253.407,
2250.5166,AccSrv,DepCl 2255.6765,0,1,,379,5254.2046,
2251.6013,ArrCl,AccFA 2251.6013  |   ArrCl 2261.0327,1,0,,380,5254.2046,
2251.6013,AccFA,,1,0,,380,5254.2046,
2255.6765,DepCl,AccSrv 2255.6765,0,0,,380,5254.2046,
2255.6765,AccSrv,DepCl 2260.8364,0,1,,380,5258.28,
2260.8364,DepCl,,0,0,,380,5258.28,
2261.0327,ArrCl,AccFA 2261.0327  |   ArrCl 2267.8982,1,0,,381,5258.28,
2261.0327,AccFA,AccSrv 2261.0327,0,0,,381,5258.28,
2261.0327,AccSrv,DepCl 2266.1926,1,1,,381,5258.28,
2266.1926,DepCl,,0,0,,381,5258.28,
2267.8982,ArrCl,AccFA 2267.8982  |   ArrCl 2272.9866,0,0,,382,5258.28,
2267.8982,AccFA,AccSrv 2267.8982,0,0,,382,5258.28,
2267.8982,AccSrv,DepCl 2273.058,1,1,,382,5258.28,
2272.9866,ArrCl,AccFA 2272.9866  |   ArrCl 2279.161,0,0,,383,5258.28,
2272.9866,AccFA,,1,0,,383,5258.28,
2273.058,DepCl,AccSrv 2273.058,0,0,,383,5258.28,
2273.058,AccSrv,DepCl 2278.218,0,1,,383,5258.3516,
2278.218,DepCl,,0,0,,383,5258.3516,
2279.161,ArrCl,AccFA 2279.161  |   ArrCl 2281.3838,1,0,,384,5258.3516,
2279.161,AccFA,AccSrv 2279.161,0,0,,384,5258.3516,
2279.161,AccSrv,DepCl 2284.3208,1,1,,384,5258.3516,
2281.3838,ArrCl,AccFA 2281.3838  |   ArrCl 2286.1086,0,0,,385,5258.3516,
2281.3838,AccFA,,1,0,,385,5258.3516,
2284.3208,DepCl,AccSrv 2284.3208,0,0,,385,5258.3516,
2284.3208,AccSrv,DepCl 2289.4807,0,1,,385,5261.2886,
2286.1086,ArrCl,AccFA 2286.1086  |   ArrCl 2289.3142,1,0,,386,5261.2886,
2286.1086,AccFA,,1,0,,386,5261.2886,
2289.3142,ArrCl,AccFA 2289.3142  |   ArrCl 2298.1462,1,0,,387,5261.2886,
2289.3142,AccFA,,1,1,,387,5261.2886,
2289.4807,DepCl,AccSrv 2289.4807,0,0,,387,5261.2886,
2289.4807,AccSrv,DepCl 2294.6406,0,2,,387,5264.6606,
2294.6406,DepCl,AccSrv 2294.6406,0,1,,387,5264.6606,
2294.6406,AccSrv,DepCl 2299.8005,0,1,,387,5269.9873,
2298.1462,ArrCl,AccFA 2298.1462  |   ArrCl 2299.9226,1,1,,388,5269.9873,
2298.1462,AccFA,,1,0,,388,5269.9873,
2299.8005,DepCl,AccSrv 2299.8005,0,0,,388,5269.9873,
2299.8005,AccSrv,DepCl 2304.9604,0,1,,388,5271.6416,
2299.9226,ArrCl,AccFA 2299.9226  |   ArrCl 2305.1614,1,0,,389,5271.6416,
2299.9226,AccFA,,1,0,,389,5271.6416,
2304.9604,DepCl,AccSrv 2304.9604,0,0,,389,5271.6416,
2304.9604,AccSrv,DepCl 2310.1204,0,1,,389,5276.6797,
2305.1614,ArrCl,AccFA 2305.1614  |   ArrCl 2318.6367,1,0,,390,5276.6797,
2305.1614,AccFA,,1,0,,390,5276.6797,
2310.1204,DepCl,AccSrv 2310.1204,0,0,,390,5276.6797,
2310.1204,AccSrv,DepCl 2315.2803,0,1,,390,5281.6387,
2315.2803,DepCl,,0,0,,390,5281.6387,
2318.6367,ArrCl,AccFA 2318.6367  |   ArrCl 2333.8438,1,0,,391,5281.6387,
2318.6367,AccFA,AccSrv 2318.6367,0,0,,391,5281.6387,
2318.6367,AccSrv,DepCl 2323.7966,1,1,,391,5281.6387,
2323.7966,DepCl,,0,0,,391,5281.6387,
2333.8438,ArrCl,AccFA 2333.8438  |   ArrCl 2348.158,0,0,,392,5281.6387,
2333.8438,AccFA,AccSrv 2333.8438,0,0,,392,5281.6387,
2333.8438,AccSrv,DepCl 2339.0037,1,1,,392,5281.6387,
2339.0037,DepCl,,0,0,,392,5281.6387,
2348.158,ArrCl,AccFA 2348.158  |   ArrCl 2351.9998,0,0,,393,5281.6387,
2348.158,AccFA,AccSrv 2348.158,0,0,,393,5281.6387,
2348.158,AccSrv,DepCl 2353.3179,1,1,,393,5281.6387,
2351.9998,ArrCl,AccFA 2351.9998  |   ArrCl 2353.1746,0,0,,394,5281.6387,
2351.9998,AccFA,,1,0,,394,5281.6387,
2353.1746,ArrCl,AccFA 2353.1746  |   ArrCl 2359.8057,1,0,,395,5281.6387,
2353.1746,AccFA,,1,1,,395,5281.6387,
2353.3179,DepCl,AccSrv 2353.3179,0,0,,395,5281.6387,
2353.3179,AccSrv,DepCl 2358.4778,0,2,,395,5282.957,
2358.4778,DepCl,AccSrv 2358.4778,0,1,,395,5282.957,
2358.4778,AccSrv,DepCl 2363.6377,0,1,,395,5288.2603,
2359.8057,ArrCl,AccFA 2359.8057  |   ArrCl 2360.201,1,1,,396,5288.2603,
2359.8057,AccFA,,1,0,,396,5288.2603,
2360.201,ArrCl,AccFA 2360.201  |   ArrCl 2367.8254,1,0,,397,5288.2603,
2360.201,AccFA,,1,1,,397,5288.2603,
2363.6377,DepCl,AccSrv 2363.6377,0,0,,397,5288.2603,
2363.6377,AccSrv,DepCl 2368.7976,0,2,,397,5292.0923,
2367.8254,ArrCl,AccFA 2367.8254  |   ArrCl 2369.345,1,1,,398,5292.0923,
2367.8254,AccFA,,1,1,,398,5292.0923,
2368.7976,DepCl,AccSrv 2368.7976,0,1,,398,5292.0923,
2368.7976,AccSrv,DepCl 2373.9575,0,2,,398,5300.689,
2369.345,ArrCl,AccFA 2369.345  |   ArrCl 2395.397,1,1,,399,5300.689,
2369.345,AccFA,,1,1,,399,5300.689,
2373.9575,DepCl,AccSrv 2373.9575,0,1,,399,5300.689,
2373.9575,AccSrv,DepCl 2379.1174,0,2,,399,5306.8213,
2379.1174,DepCl,AccSrv 2379.1174,0,1,,399,5306.8213,
2379.1174,AccSrv,DepCl 2384.2773,0,1,,399,5316.5938,
2384.2773,DepCl,,0,0,,399,5316.5938,
2395.397,ArrCl,AccFA 2395.397  |   ArrCl 2401.258,1,1,,400,5316.5938,
2395.397,AccFA,AccSrv 2395.397,0,0,,400,5316.5938,
2395.397,AccSrv,DepCl 2400.557,1,1,,400,5316.5938,
2400.557,DepCl,,0,0,,400,5316.5938,
2401.258,ArrCl,AccFA 2401.258  |   ArrCl 2430.5999,0,0,,401,5316.5938,
2401.258,AccFA,AccSrv 2401.258,0,0,,401,5316.5938,
2401.258,AccSrv,DepCl 2406.418,1,1,,401,5316.5938,
2406.418,DepCl,,0,0,,401,5316.5938,
2430.5999,ArrCl,AccFA 2430.5999  |   ArrCl 2433.8105,0,0,,402,5316.5938,
2430.5999,AccFA,AccSrv 2430.5999,0,0,,402,5316.5938,
2430.5999,AccSrv,DepCl 2435.7598,1,1,,402,5316.5938,
2433.8105,ArrCl,AccFA 2433.8105  |   ArrCl 2449.5442,0,0,,403,5316.5938,
2433.8105,AccFA,,1,0,,403,5316.5938,
2435.7598,DepCl,AccSrv 2435.7598,0,0,,403,5316.5938,
2435.7598,AccSrv,DepCl 2440.9197,0,1,,403,5318.543,
2440.9197,DepCl,,0,0,,403,5318.543,
2449.5442,ArrCl,AccFA 2449.5442  |   ArrCl 2453.3582,1,0,,404,5318.543,
2449.5442,AccFA,AccSrv 2449.5442,0,0,,404,5318.543,
2449.5442,AccSrv,DepCl 2454.704,1,1,,404,5318.543,
2453.3582,ArrCl,AccFA 2453.3582  |   ArrCl 2456.1445,0,0,,405,5318.543,
2453.3582,AccFA,,1,0,,405,5318.543,
2454.704,DepCl,AccSrv 2454.704,0,0,,405,5318.543,
2454.704,AccSrv,DepCl 2459.864,0,1,,405,5319.8887,
2456.1445,ArrCl,AccFA 2456.1445  |   ArrCl 2462.233,1,0,,406,5319.8887,
2456.1445,AccFA,,1,0,,406,5319.8887,
2459.864,DepCl,AccSrv 2459.864,0,0,,406,5319.8887,
2459.864,AccSrv,DepCl 2465.024,0,1,,406,5323.6084,
2462.233,ArrCl,AccFA 2462.233  |   ArrCl 2462.8147,1,0,,407,5323.6084,
2462.233,AccFA,,1,0,,407,5323.6084,
2462.8147,ArrCl,AccFA 2462.8147  |   ArrCl 2463.4893,1,0,,408,5323.6084,
2462.8147,AccFA,,1,1,,408,5323.6084,
2463.4893,ArrCl,AccFA 2463.4893  |   ArrCl 2468.9285,1,1,,409,5323.6084,
2463.4893,AccFA,,1,2,,409,5323.6084,
2465.024,DepCl,AccSrv 2465.024,0,0,,409,5323.6084,
2465.024,AccSrv,DepCl 2470.1838,0,3,,409,5326.3994,
2468.9285,ArrCl,AccFA 2468.9285  |   ArrCl 2469.123,1,2,,410,5326.3994,
2468.9285,AccFA,,1,2,,410,5326.3994,
2469.123,ArrCl,AccFA 2469.123  |   ArrCl 2479.5732,1,2,,411,5326.3994,
2469.123,AccFA,,1,3,,411,5326.3994,
2470.1838,DepCl,AccSrv 2470.1838,0,2,,411,5326.3994,
2470.1838,AccSrv,DepCl 2475.3438,0,4,,411,5333.7686,
2475.3438,DepCl,AccSrv 2475.3438,0,3,,411,5333.7686,
2475.3438,AccSrv,DepCl 2480.5037,0,3,,411,5345.623,
2479.5732,ArrCl,AccFA 2479.5732  |   ArrCl 2483.918,1,3,,412,5345.623,
2479.5732,AccFA,,1,2,,412,5345.623,
2480.5037,DepCl,AccSrv 2480.5037,0,2,,412,5345.623,
2480.5037,AccSrv,DepCl 2485.6636,0,3,,412,5357.198,
2483.918,ArrCl,AccFA 2483.918  |   ArrCl 2506.6377,1,2,,413,5357.198,
2483.918,AccFA,,1,2,,413,5357.198,
2485.6636,DepCl,AccSrv 2485.6636,0,2,,413,5357.198,
2485.6636,AccSrv,DepCl 2490.8235,0,3,,413,5373.739,
2490.8235,DepCl,AccSrv 2490.8235,0,2,,413,5373.739,
2490.8235,AccSrv,DepCl 2495.9834,0,2,,413,5384.9893,
2495.9834,DepCl,AccSrv 2495.9834,0,1,,413,5384.9893,
2495.9834,AccSrv,DepCl 2501.1433,0,1,,413,5397.0547,
2501.1433,DepCl,,0,0,,413,5397.0547,
2506.6377,ArrCl,AccFA 2506.6377  |   ArrCl 2516.4136,1,2,,414,5397.0547,
2506.6377,AccFA,AccSrv 2506.6377,0,0,,414,5397.0547,
2506.6377,AccSrv,DepCl 2511.7976,1,1,,414,5397.0547,
2511.7976,DepCl,,0,0,,414,5397.0547,
2516.4136,ArrCl,AccFA 2516.4136  |   ArrCl 2519.8362,0,0,,415,5397.0547,
2516.4136,AccFA,AccSrv 2516.4136,0,0,,415,5397.0547,
2516.4136,AccSrv,DepCl 2521.5735,1,1,,415,5397.0547,
2519.8362,ArrCl,AccFA 2519.8362  |   ArrCl 2523.5664,0,0,,416,5397.0547,
2519.8362,AccFA,,1,0,,416,5397.0547,
2521.5735,DepCl,AccSrv 2521.5735,0,0,,416,5397.0547,
2521.5735,AccSrv,DepCl 2526.7334,0,1,,416,5398.792,
2523.5664,ArrCl,AccFA 2523.5664  |   ArrCl 2540.785,1,0,,417,5398.792,
2523.5664,AccFA,,1,0,,417,5398.792,
2526.7334,DepCl,AccSrv 2526.7334,0,0,,417,5398.792,
2526.7334,AccSrv,DepCl 2531.8933,0,1,,417,5401.959,
2531.8933,DepCl,,0,0,,417,5401.959,
