,,,,VAR ETAT SYSTEME,,,VAR STATS,
HS,TYPE EVT TRAITE, ECHEANCIER, ETAT GUICHET(0=LIBRE/1=OCCUPE),NB CLIENT DANS LA QUEUE,QUEUE,NB CLIENTS RECUS, ATTENTE GLOBALE AVANT SERVICE
103.386284,AccFA,,1,7,,26,226.49744,
105.49339,DepCl,AccSrv 105.49339,0,7,,26,226.49744,
105.49339,AccSrv,DepCl 110.6534,0,8,,26,254.78008,
108.17161,ArrCl,AccFA 108.17161  |   ArrCl 121.00413,1,7,,27,254.78008,
108.17161,AccFA,,1,7,,27,254.78008,
110.6534,DepCl,AccSrv 110.6534,0,7,,27,254.78008,
110.6534,AccSrv,DepCl 115.8134,0,8,,27,285.60336,
115.8134,DepCl,AccSrv 115.8134,0,7,,27,285.60336,
115.8134,AccSrv,DepCl 120.973404,0,7,,27,321.03082,
120.973404,DepCl,AccSrv 120.973404,0,6,,27,321.03082,
120.973404,AccSrv,DepCl 126.13341,0,6,,27,360.15442,
121.00413,ArrCl,AccFA 121.00413  |   ArrCl 121.216736,1,7,,28,360.15442,
121.00413,AccFA,,1,5,,28,360.15442,
121.216736,ArrCl,AccFA 121.216736  |   ArrCl 122.234184,1,5,,29,360.15442,
121.216736,AccFA,,1,6,,29,360.15442,
122.234184,ArrCl,AccFA 122.234184  |   ArrCl 123.33601,1,6,,30,360.15442,
122.234184,AccFA,,1,7,,30,360.15442,
123.33601,ArrCl,AccFA 123.33601  |   ArrCl 142.42422,1,7,,31,360.15442,
123.33601,AccFA,,1,8,,31,360.15442,
126.13341,DepCl,AccSrv 126.13341,0,5,,31,360.15442,
126.13341,AccSrv,DepCl 131.29341,0,9,,31,401.80157,
131.29341,DepCl,AccSrv 131.29341,0,8,,31,401.80157,
131.29341,AccSrv,DepCl 136.45341,0,8,,31,448.46182,
136.45341,DepCl,AccSrv 136.45341,0,7,,31,448.46182,
136.45341,AccSrv,DepCl 141.61342,0,7,,31,495.8375,
141.61342,DepCl,AccSrv 141.61342,0,6,,31,495.8375,
141.61342,AccSrv,DepCl 146.77342,0,6,,31,534.06464,
142.42422,ArrCl,AccFA 142.42422  |   ArrCl 153.81807,1,8,,32,534.06464,
142.42422,AccFA,,1,5,,32,534.06464,
146.77342,DepCl,AccSrv 146.77342,0,5,,32,534.06464,
146.77342,AccSrv,DepCl 151.93343,0,6,,32,572.66644,
151.93343,DepCl,AccSrv 151.93343,0,5,,32,572.66644,
151.93343,AccSrv,DepCl 157.09343,0,5,,32,603.59576,
153.81807,ArrCl,AccFA 153.81807  |   ArrCl 154.37311,1,5,,33,603.59576,
153.81807,AccFA,,1,4,,33,603.59576,
154.37311,ArrCl,AccFA 154.37311  |   ArrCl 155.24812,1,4,,34,603.59576,
154.37311,AccFA,,1,5,,34,603.59576,
155.24812,ArrCl,AccFA 155.24812  |   ArrCl 161.07617,1,5,,35,603.59576,
155.24812,AccFA,,1,6,,35,603.59576,
157.09343,DepCl,AccSrv 157.09343,0,4,,35,603.59576,
157.09343,AccSrv,DepCl 162.25343,0,7,,35,639.4725,
161.07617,ArrCl,AccFA 161.07617  |   ArrCl 162.33203,1,6,,36,639.4725,
161.07617,AccFA,,1,6,,36,639.4725,
162.25343,DepCl,AccSrv 162.25343,0,6,,36,639.4725,
162.25343,AccSrv,DepCl 167.41344,0,7,,36,679.4917,
162.33203,ArrCl,AccFA 162.33203  |   ArrCl 170.08015,1,6,,37,679.4917,
162.33203,AccFA,,1,6,,37,679.4917,
167.41344,DepCl,AccSrv 167.41344,0,6,,37,679.4917,
167.41344,AccSrv,DepCl 172.57344,0,7,,37,723.5691,
170.08015,ArrCl,AccFA 170.08015  |   ArrCl 172.22502,1,6,,38,723.5691,
170.08015,AccFA,,1,6,,38,723.5691,
172.22502,ArrCl,AccFA 172.22502  |   ArrCl 182.14233,1,6,,39,723.5691,
172.22502,AccFA,,1,7,,39,723.5691,
172.57344,DepCl,AccSrv 172.57344,0,6,,39,723.5691,
172.57344,AccSrv,DepCl 177.73344,0,8,,39,753.7183,
177.73344,DepCl,AccSrv 177.73344,0,7,,39,753.7183,
177.73344,AccSrv,DepCl 182.89345,0,7,,39,777.63367,
182.14233,ArrCl,AccFA 182.14233  |   ArrCl 187.48044,1,7,,40,777.63367,
182.14233,AccFA,,1,6,,40,777.63367,
182.89345,DepCl,AccSrv 182.89345,0,6,,40,777.63367,
182.89345,AccSrv,DepCl 188.05345,0,7,,40,806.154,
187.48044,ArrCl,AccFA 187.48044  |   ArrCl 196.14601,1,6,,41,806.154,
187.48044,AccFA,,1,6,,41,806.154,
188.05345,DepCl,AccSrv 188.05345,0,6,,41,806.154,
188.05345,AccSrv,DepCl 193.21346,0,7,,41,838.95935,
